Tie,8831,12.7,237.47,,8617.12,-707.94,-1330.37,2.17,-135.25,1507.01,24,-2.17,-0.62
,8888,13.14,237.9,133.8,8672.68,-714.75,-1341.14,0.79,-137.34,1519.72,57,0.77,0.75
,8983,15.79,233.59,139.2,8764.66,-728.16,-1360.7,3.01,-142.1,1543.28,95,2.79,-4.54
,9078,18.73,237.6,141.91,8855.38,-744.01,-1383.98,3.34,-147.65,1571.29,95,3.09,4.22
,9173,15.73,235.15,141.91,8946.1,-759.55,-1407.44,3.25,-152.85,1599.31,95,-3.16,-2.58
,9265,14.99,239.91,131.09,9034.82,-772.64,-1427.97,1.59,-156.94,1623.59,92,-0.8,5.17
,9360,18.89,249.96,133.8,9125.7,-784.08,-1453.06,5.12,-157.72,1651.11,95,4.11,10.58
,9454,20.21,250.61,139.2,9214.28,-794.68,-1482.67,1.42,-155.98,1682.21,94,1.4,0.69
,9550,19.82,250.62,139.2,9304.48,-805.59,-1513.66,0.41,-153.99,1714.69,96,-0.41,0.01
,9644,18.76,249.38,141.91,9393.2,-816.2,-1542.85,1.21,-152.42,1745.44,94,-1.13,-1.32
,9739,17.93,248.86,141.91,9483.37,-826.85,-1570.78,0.89,-151.38,1775.12,95,-0.87,-0.55
,9834,18.99,251.81,141.91,9573.49,-836.95,-1599.11,1.49,-149.68,1804.89,95,1.12,3.11
,9929,18.12,249.77,98.66,9663.55,-846.89,-1627.65,1.14,-147.74,1834.8,95,-0.92,-2.15
,10024,17.67,249.26,141.91,9753.95,-857.1,-1655,0.5,-146.52,1863.77,95,-0.47,-0.54
,10119,19.47,252.52,147.31,9844,-866.96,-1683.59,2.19,-144.5,1893.7,95,1.89,3.43
,10213,20.22,252.06,144.61,9932.42,-876.67,-1713.98,0.81,-141.63,1925.17,94,0.8,-0.49
,10308,19.15,251.4,147.31,10021.87,-886.7,-1744.37,1.15,-139.06,1956.8,95,-1.13,-0.69
,10403,18.69,251.19,152.72,10111.74,-896.58,-1773.55,0.49,-136.82,1987.29,95,-0.48,-0.22
,10498,19.04,251.67,152.72,10201.63,-906.36,-1802.67,0.4,-134.52,2017.7,95,0.37,0.51
,10593,18.43,251.27,152.72,10291.6,-916.05,-1831.6,0.66,-132.21,2047.9,95,-0.64,-0.42
,10688,18.35,250.45,152.72,10381.75,-925.88,-1859.91,0.29,-130.26,2077.63,95,-0.08,-0.86
,10721,18.87,249.39,255.44,10413.02,-929.5,-1869.8,1.88,-129.74,2088.09,33,1.58,-3.21
,10816,18.32,249.61,155.42,10503.06,-940.11,-1898.18,0.58,-128.49,2118.23,95,-0.58,0.23
,10911,16.76,241.4,158.12,10593.66,-951.87,-1924.2,3.08,-129.21,2146.77,95,-1.64,-8.64
,10974,14.98,238.96,152.72,10654.25,-960.41,-1939.16,3.02,-131.28,2163.96,63,-2.83,-3.87
,11069,16.8,270.61,155.42,10745.79,-966.61,-1963.45,9.2,-127.55,2188.49,95,1.92,33.32
,11164,23.03,294.16,158.12,10835.2,-958.84,-1994.21,10.57,-108.43,2212.75,95,6.56,24.79
,11259,29.77,302.2,174.34,10920.28,-938.64,-2031.18,8.02,-75.45,2237.57,95,7.09,8.46
,11354,36.08,302.32,174.34,10999.98,-911.09,-2074.82,6.64,-33.1,2266.04,95,6.64,0.13
,11449,41.13,311.26,174.34,11074.25,-875.47,-2122.02,7.91,18.05,2295.52,95,5.32,9.41
,11544,47.19,317.22,174.34,11142.4,-829.23,-2169.23,7.73,79.01,2322.33,95,6.38,6.27
,11639,54.64,320.83,179.75,11202.27,-773.53,-2217.45,8.38,149.07,2348.49,95,7.84,3.8
,11734,62.51,323.14,182.45,11251.76,-709.68,-2267.27,8.54,227.27,2375.75,95,8.28,2.43
,11829,67.84,327.38,185.16,11291.65,-638.83,-2316.32,6.92,311.6,2402.8,95,5.61,4.46
,11924,72.88,330.64,187.86,11323.58,-562.15,-2362.33,6.21,400.14,2428.29,95,5.31,3.43
,12019,79.01,332.24,190.56,11346.64,-481.24,-2406.35,6.66,491.8,2454,95,6.45,1.68
,12114,85.5,336.1,190.56,11359.44,-396.56,-2447.31,7.93,585.74,2479.23,95,6.83,4.06
,12209,88.92,337.11,195.97,11364.06,-309.49,-2484.98,3.75,680.61,2504.18,95,3.6,1.06
,12303,90.03,337.44,195.97,11364.92,-222.79,-2521.29,1.23,774.6,2531.12,94,1.18,0.35
,12398,90.34,337.78,198.67,11364.62,-134.96,-2557.48,0.48,869.6,2561.04,95,0.33,0.36
,12492,90.52,335.83,201.37,11363.91,-48.56,-2594.5,2.08,963.59,2594.95,94,0.19,-2.07
,12588,90.52,337.99,217.59,11363.04,39.74,-2632.14,2.25,1059.58,2632.44,96,0,2.25
,12683,90.55,337.14,204.08,11362.15,127.55,-2668.4,0.9,1154.57,2671.44,95,0.03,-0.89
,12778,90.43,338.33,206.78,11361.34,215.46,-2704.39,1.26,1249.56,2712.96,95,-0.13,1.25
,12873,90.58,337.84,206.78,11360.5,303.59,-2739.85,0.54,1344.54,2756.61,95,0.16,-0.52
,12968,90.74,338.43,206.78,11359.41,391.75,-2775.22,0.64,1439.52,2802.74,95,0.17,0.62
